,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
607,Hyundai Verna 1.6 SX CRDi (O),2012,72000,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.32 bhp,5.0,119103000.0
611,Audi Q7 3.0 TDI Quattro Premium Plus,2009,94000,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7.0,246420000.0
616,Hyundai EON Era Plus,2015,68764,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,59551500.0
617,Volkswagen Polo Diesel Comfortline 1.2L,2013,64000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,59551500.0
618,Maruti Vitara Brezza ZDi,2016,21558,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,182761500.0
621,Honda City 1.5 S MT,2009,70000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,43123500.0
624,BMW 3 Series 320d,2009,137000,Diesel,Automatic,Second,13.2 kmpl,1995 CC,170 bhp,5.0,184815000.0
625,Honda City V MT,2013,127000,Petrol,Manual,Second,16.8 kmpl,1497 CC,116.3 bhp,5.0,92407500.0
626,Mahindra XUV500 W10 2WD,2016,51884,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,255866100.00000003
627,Hyundai i20 Asta 1.4 CRDi,2014,67407,Diesel,Manual,First,21.27 kmpl,1396 CC,88.76 bhp,5.0,95487750.0
628,Toyota Fortuner 4x2 Manual,2014,107825,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,420967500.0
640,BMW 5 Series 2013-2017 520d Luxury Line,2016,19658,Diesel,Automatic,First,18.12 kmpl,1995 CC,190 bhp,5.0,735974400.0000001
642,Hyundai i10 Sportz,2013,25000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,54417750.0
649,Mahindra XUV500 W8 2WD,2012,72450,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,166333500.0
654,Maruti Alto K10 VXI,2011,64357,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,56471250.0
659,Audi A6 2011-2015 2.0 TDI Premium Plus,2014,49964,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,490581150.0
661,Hyundai Grand i10 CRDi Sportz,2014,64000,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,85220250.0
665,Maruti Ritz VDi,2015,65000,Diesel,Manual,Second,23.2 kmpl,1248 CC,73.94 bhp,5.0,67149450.0
667,Hyundai i20 Asta Option 1.2,2016,21000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,129370500.0
668,Maruti Vitara Brezza ZDi Plus Dual Tone,2017,18108,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,232250850.0
672,Volkswagen Polo Diesel Highline 1.2L,2012,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,95487750.0
673,Maruti Ertiga ZDI,2015,59000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,154012500.0
674,Maruti Swift Dzire VDI,2015,60000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,128343750.0
676,Honda Brio S MT,2013,17003,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,64685250.0
678,Hyundai Verna 1.6 SX CRDi (O),2012,75200,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,107808750.0
681,Volkswagen Polo 1.2 MPI Highline,2017,54000,Petrol,Manual,Second,16.2 kmpl,1199 CC,74 bhp,5.0,123210000.0
684,Hyundai i20 Asta 1.4 CRDi,2015,86157,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,133477500.0
685,Maruti Ritz VDi,2012,146824,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,72899250.0
686,Honda City V MT,2014,55000,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,145798500.0
691,Hyundai EON Era Plus,2016,36700,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,89943300.0
692,Hyundai i10 Sportz,2011,35000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,56471250.0
695,Ford EcoSport 1.5 TDCi Titanium,2013,62084,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,5.0,135531000.0
698,Ford Figo Diesel ZXI,2010,100002,Diesel,Manual,Third,20.0 kmpl,1399 CC,68 bhp,5.0,26284800.0
702,Hyundai Grand i10 Asta,2017,74515,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,115817400.0
706,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,2017,34000,Diesel,Automatic,First,13.0 kmpl,2143 CC,204 bhp,5.0,739260000.0
711,Mercedes-Benz New C-Class 220 CDI AT,2012,86000,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5.0,390165000.0
716,Maruti Alto 800 LXI,2017,54250,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,72077850.0
717,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,45979,Diesel,Automatic,Second,17.11 kmpl,1968 CC,174.33 bhp,5.0,400432500.0
719,Audi Q7 3.0 TDI Quattro Premium Plus,2015,46983,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7.0,890192250.0
721,Maruti Wagon R LXI BS IV,2015,43828,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5.0,72283200.0
724,Maruti Swift Dzire VXI,2015,19000,Petrol,Manual,First,20.85 kmpl,1197 CC,83.14 bhp,5.0,107808750.0
727,Hyundai i20 1.2 Magna,2010,67714,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,66738750.0
730,BMW 3 Series 320d Luxury Line,2015,58390,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,407825100.0
734,Maruti Swift VDI BSIV,2012,52241,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,59551500.0
739,Maruti Swift VDI BSIV,2007,60000,Diesel,Manual,Second,17.8 kmpl,1248 CC,null bhp,5.0,69819000.0
741,Maruti Ertiga VDI,2017,63939,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7.0,159146250.0
743,Maruti Swift VDI BSIV,2015,63000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,100621500.0
744,Volkswagen Vento Petrol Highline,2012,121377,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5.0,78033000.0
751,Jaguar XF 2.2 Litre Luxury,2016,47877,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5.0,732688800.0
753,Chevrolet Cruze LTZ,2011,73000,Diesel,Manual,Third,18.3 kmpl,1991 CC,147.9 bhp,5.0,86247000.0
754,Mahindra XUV500 W8 2WD,2015,72007,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,203296500.0
757,Toyota Etios G,2013,42103,Petrol,Manual,First,16.78 kmpl,1496 CC,88.73 bhp,5.0,66738750.0
758,Maruti Alto LXi BSIII,2012,67147,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,53391000.0
759,Maruti Swift VXI BSIV,2016,37806,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,106782000.0
760,Maruti A-Star Vxi,2009,85000,Petrol,Manual,Third,19.0 kmpl,998 CC,66.1 bhp,5.0,36963000.0
766,BMW 3 Series 320d Luxury Line,2016,14351,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,730019250.0
767,Chevrolet Cruze LTZ,2017,51087,Diesel,Manual,First,17.9 kmpl,1998 CC,163.7 bhp,5.0,159146250.0
771,Toyota Innova 2.5 V Diesel 8-seater,2016,50000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,321372750.0
772,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,36797,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,810516450.0
777,Hyundai Verna 1.6 SX,2012,67000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,128343750.0
779,Chevrolet Beat LS,2010,17088,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5.0,29981100.0
781,Ford Figo Diesel EXI,2014,74980,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,83782800.0
782,Maruti Celerio VXI AT,2014,44600,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,93434250.0
785,Maruti Wagon R VXI BS IV,2010,81245,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,50310750.0
789,Mahindra XUV500 W10 2WD,2016,56532,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,319113900.0
791,Maruti Wagon R VXI,2015,72599,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,88711200.0
793,Hyundai Verna 1.6 SX,2011,98000,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.32 bhp,5.0,106782000.0
799,Volkswagen Polo Diesel Comfortline 1.2L,2011,75020,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,84193500.0
801,Mahindra XUV500 W10 2WD,2017,43773,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,278043900.0
804,Maruti Swift Dzire VDI,2013,88000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,97541250.0
805,Hyundai Verna 1.6 SX VTVT,2014,67000,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5.0,114996000.0
810,Hyundai Verna 1.6 SX VTVT (O),2013,35000,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,5.0,92407500.0
812,Maruti Ertiga ZDI,2013,39929,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,134709600.0
815,Hyundai i10 Sportz,2016,21456,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,93434250.0
817,Hyundai i20 Asta Option 1.2,2015,37000,Petrol,Manual,Second,18.6 kmpl,1197 CC,81.83 bhp,5.0,107808750.0
822,Audi A6 2011-2015 2.0 TDI Premium Plus,2013,31000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,389138250.0
823,Maruti Wagon R LXI BS IV,2014,40000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5.0,51132150.00000001
824,Renault KWID RXT,2016,4152,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,64685250.0
826,Volkswagen Polo Diesel Comfortline 1.2L,2013,55000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,87273750.0
827,Maruti Alto 800 LXI,2014,58500,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,56471250.0
828,Hyundai i20 Asta Option 1.2,2017,58620,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,146619900.0
830,Hyundai i20 1.2 Sportz,2012,71172,Petrol,Manual,Third,17.0 kmpl,1197 CC,80 bhp,5.0,71872500.0
834,Volkswagen Polo GT TSI,2015,57022,Petrol,Automatic,First,17.21 kmpl,1197 CC,103.6 bhp,5.0,133682850.0
835,Ford Figo Diesel Titanium,2015,92000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5.0,87273750.0
837,Hyundai Grand i10 CRDi Magna,2016,52625,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,94050300.0
843,Maruti Celerio VXI AT,2014,33450,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,90354000.0
846,Maruti Ertiga ZDI,2014,64000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,148878750.0
847,Ford Figo Diesel ZXI,2013,51000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5.0,65712000.0
848,Volkswagen Polo 1.2 MPI Highline,2014,57000,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,81113250.0
853,Audi A4 2.0 TDI,2011,46000,Diesel,Automatic,Second,16.55 kmpl,1968 CC,147.51 bhp,5.0,225679650.0
854,Audi A4 2.0 TDI,2012,47346,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5.0,297757500.0
857,Hyundai Verna 1.6 SX CRDi (O),2015,72996,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,146003850.0
864,Jaguar XF 2.2 Litre Luxury,2015,44194,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5.0,673548000.0
867,Toyota Fortuner 3.0 Diesel,2010,41650,Diesel,Manual,Second,11.5 kmpl,2982 CC,171 bhp,7.0,225679650.0
868,Hyundai Grand i10 AT Asta,2015,61717,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,114379950.0
871,Hyundai i10 Sportz,2010,69000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,59551500.0
872,Honda Brio S MT,2016,32700,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,75568800.0
873,Toyota Fortuner 4x2 AT,2015,101337,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,444993450.00000006
874,Audi A4 2.0 TDI Multitronic,2011,59000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5.0,256687500.0
875,Toyota Innova Crysta 2.8 ZX AT,2018,41736,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,409057200.00000006
876,Honda City i DTEC VX,2014,71649,Diesel,Manual,First,25.1 kmpl,1498 CC,98.6 bhp,5.0,138611250.0
877,Honda City i DTEC VX,2015,80606,Diesel,Manual,First,25.1 kmpl,1498 CC,98.6 bhp,5.0,142923600.0
881,Mahindra XUV500 W8 2WD,2011,66000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,112942500.0
882,Hyundai i10 Magna,2010,66770,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5.0,53391000.0
889,Maruti Wagon R LXI,2015,51530,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,65712000.0
891,Honda Amaze S i-Dtech,2015,48000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,92407500.0
896,Toyota Fortuner 4x2 Manual,2012,76000,Diesel,Manual,Second,13.0 kmpl,2982 CC,168.5 bhp,7.0,277222500.0
898,Honda City V MT,2010,43000,Petrol,Manual,Second,16.8 kmpl,1497 CC,116.3 bhp,5.0,77006250.0
903,Maruti Ertiga VDI,2016,85827,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,154012500.0
907,Maruti Ritz VDi,2010,79324,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,67765500.0
908,Maruti Swift Dzire VXI,2013,38623,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,102675000.0
909,Maruti Swift ZDi,2014,59923,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,132656100.0
916,Maruti Swift Dzire VDi,2010,130000,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,74952750.0
922,Maruti Celerio VXI,2015,74000,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5.0,85220250.0
923,Toyota Fortuner 3.0 Diesel,2011,75000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,222804750.0
927,Hyundai Creta 1.6 CRDi SX,2015,43000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,189948750.0
929,Ford EcoSport 1.5 TDCi Titanium,2015,80000,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,5.0,143745000.0
935,Renault Duster 85PS Diesel RxL,2015,91000,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5.0,118076250.0
937,Volkswagen Polo Petrol Highline 1.2L,2011,43000,Petrol,Manual,Second,16.47 kmpl,1198 CC,73.9 bhp,5.0,43123500.0
945,Hyundai Elantra CRDi SX,2015,53615,Diesel,Manual,First,22.7 kmpl,1582 CC,126.24 bhp,5.0,173315400.0
950,Maruti Swift Dzire Tour LDI,2014,96000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,98568000.0
957,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2015,50000,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,616050000.0
959,Hyundai Grand i10 AT Asta,2017,19168,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,142307550.0
963,Skoda Superb Elegance 1.8 TSI AT,2012,95000,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,205350000.0
964,Audi A4 2.0 TDI,2009,34000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5.0,204323250.0
967,Hyundai i10 Era,2008,84000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5.0,36963000.0
968,Maruti Swift Dzire VXi,2008,47000,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,5.0,28749000.0
970,Maruti Ritz VDi,2012,96000,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,73926000.0
973,Maruti Wagon R LXI,2007,65000,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,5.0,25668750.0
974,Volkswagen Polo Diesel Comfortline 1.2L,2013,68000,Diesel,Manual,Second,22.07 kmpl,1199 CC,73.9 bhp,5.0,98568000.0
976,Hyundai i20 1.2 Sportz,2011,41980,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5.0,67765500.0
979,Maruti Wagon R VXI BS IV,2014,51000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5.0,63658500.0
982,Ford EcoSport 1.5 TDCi Titanium,2015,47037,Diesel,Manual,Second,22.77 kmpl,1498 CC,98.59 bhp,5.0,143745000.0
983,Hyundai Accent GLE,2010,58000,Petrol,Manual,Second,13.2 kmpl,1495 CC,94 bhp,5.0,51337500.0
984,BMW 5 Series 520d Luxury Line,2012,61240,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5.0,359362500.0
985,Maruti Alto K10 2010-2014 VXI,2011,91211,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5.0,43123500.0
992,Maruti Swift VXI BSIV,2016,9107,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,105755250.0
993,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2015,63983,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5.0,340059600.0
998,Hyundai Grand i10 AT Asta,2014,37632,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,92407500.0
1007,Hyundai i20 Sportz 1.4 CRDi,2015,26000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,127317000.0
1009,Maruti Swift ZDi,2014,81000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,125263500.0
1014,Hyundai i20 1.2 Magna,2010,18000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,46203750.0
1015,Hyundai Verna 1.6 SX,2014,63003,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,138611250.0
1016,Mahindra XUV500 W6 2WD,2014,80000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,193029000.0
1020,Maruti Swift VDI,2012,82000,Diesel,Manual,Second,22.9 kmpl,1248 CC,74 bhp,5.0,51337500.0
1021,Volkswagen Polo Diesel Highline 1.2L,2013,60000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,97541250.0
1022,Honda City 1.5 V MT,2009,138000,Petrol,Manual,Second,17.0 kmpl,1497 CC,118 bhp,5.0,71872500.0
1024,Honda City 1.5 V MT,2012,42750,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,129986550.0
1034,BMW 3 Series 320d,2010,105000,Diesel,Automatic,Second,13.2 kmpl,1995 CC,170 bhp,5.0,225885000.0
1037,Jaguar XF 2.2 Litre Luxury,2014,48000,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5.0,544177500.0
1041,Maruti Swift VXI,2013,61110,Petrol,Manual,First,18.6 kmpl,1197 CC,85.8 bhp,5.0,93844950.0
1045,Hyundai Grand i10 Asta Option,2016,44178,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,120745800.0
1046,Toyota Innova 2.5 G (Diesel) 8 Seater,2015,84415,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8.0,277222500.0
1047,Hyundai i20 1.2 Magna,2015,35000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,94461000.0
1048,Ford EcoSport 1.5 TDCi Titanium,2013,44000,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,5.0,100621500.0
1049,Honda City 1.5 S MT,2012,67635,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,107808750.0
1051,Volkswagen Polo Diesel Highline 1.2L,2014,35000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,78033000.0
1052,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2010,49000,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5.0,183788250.0
1053,Ford Ecosport 1.5 DV5 MT Titanium,2013,69000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,147852000.0
1055,Maruti Swift Dzire LDI,2014,68462,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,85220250.0
1058,Maruti Wagon R VXI,2016,22000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,75979500.0
1064,Hyundai i10 Sportz,2009,43002,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,39427200.0
1065,Toyota Innova Crysta 2.8 ZX AT,2016,108000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,420967500.0
1067,Hyundai Grand i10 Sportz,2013,29000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,65712000.0
1068,Toyota Etios Liva GD,2012,225000,Diesel,Manual,Second,23.59 kmpl,1364 CC,null bhp,5.0,53391000.0
1069,Maruti Swift Dzire VDI,2014,45000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,79059750.0
1072,Maruti Ertiga VDI,2016,130000,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7.0,143745000.0
1073,Maruti Ertiga ZDI,2013,67443,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,118076250.0
1075,Maruti Alto LXi BSIII,2009,35000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,34909500.0
1079,Maruti Swift ZDi,2016,58000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,155039250.0
1086,Hyundai i10 Magna 1.2,2013,46821,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,70229700.0
1087,Chevrolet Beat LS,2015,120000,Petrol,Manual,First,18.6 kmpl,1199 CC,76.8 bhp,5.0,51337500.0
1095,Hyundai EON D Lite Plus,2013,17729,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,74952750.0
1098,Maruti Wagon R VXI,2015,14000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,57498000.0
1100,Honda City i VTEC V,2014,62505,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,122183250.0
1101,Toyota Innova 2.5 V Diesel 7-seater,2011,248000,Diesel,Manual,Second,12.8 kmpl,2494 CC,102 bhp,7.0,188922000.0
1104,Audi Q7 3.0 TDI Quattro Premium Plus,2015,53735,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7.0,799632900.0
1105,Maruti Wagon R VXI,2008,53934,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,5.0,55239150.0
1108,Maruti Alto 800 2016-2019 LXI,2016,24000,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5.0,57498000.0
1109,Hyundai Verna 1.6 SX VTVT,2016,52001,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5.0,132450750.0
1118,Volkswagen Polo 1.5 TDI Highline,2014,69000,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5.0,106576650.00000001
1119,Skoda Superb Elegance 1.8 TSI AT,2009,108000,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,89327250.0
1122,Honda City i VTEC CVT VX,2016,58197,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,188716650.0
1125,Maruti Swift Dzire VDI,2014,57000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,79881150.0
1130,Hyundai Grand i10 CRDi Magna,2016,57738,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,103496400.0
1132,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2014,64000,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5.0,321372750.0
1136,Volkswagen Vento Petrol Highline,2012,67200,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5.0,80086500.0
1137,BMW 3 Series 320d Luxury Line,2013,62655,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,297757500.0
1140,Toyota Innova Crysta 2.8 ZX AT,2016,69000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,405566250.0
1143,Maruti Swift VDI BSIV,2013,23000,Diesel,Manual,First,17.8 kmpl,1248 CC,null bhp,5.0,114996000.0
1145,Mahindra XUV500 W8 4WD,2013,116694,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,196519950.0
1147,Maruti Vitara Brezza ZDi,2018,64456,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,214796100.00000003
1150,Skoda Superb Elegance 1.8 TSI AT,2015,56073,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,272088750.0
1156,Volkswagen Polo 1.2 MPI Highline,2014,62000,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,109862250.0
1167,Hyundai i20 1.2 Magna,2010,65000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,61605000.0
1168,Maruti Celerio VXI AT,2016,21600,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,95487750.0
1170,Maruti Swift Dzire VXi,2011,58075,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5.0,60578250.0
1172,Maruti Swift ZDi,2015,58000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,122183250.0
1177,Hyundai i10 Era,2013,46230,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,63658500.0
1182,Renault KWID RXT,2016,45000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,53391000.0
1183,Maruti A-Star Vxi,2009,66149,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5.0,50310750.0
1185,Maruti Wagon R LXI BS IV,2012,35503,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,47230500.0
